Date	Time	Open	High	Low	Close	CL	BL	LS	FS1	FS2	RSI_Buy	RSI_Sell	Chaikin	%K	%D	OBV	signal	HOBV	HOBV_signal	MFI	ADX	plus	minus	
2023/12/04	08:00:06	16220.25	16220.25	16169	16182.25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
2023/12/04	13:48:35	16184.25	16204.75	16148.75	16173.25	 	 	 	 	 	 	 	 	 	 	-327	 	-327	 	 	 	 	 	
2023/12/04	18:26:10	16173	16175.75	16079.25	16079.25	 	 	 	 	 	 	 	 	 	 	-704	 	-704	 	 	 	 	 	
2023/12/04	23:14:33	16080	16080.75	16043.5	16046.25	 	 	 	 	 	 	 	 	 	 	-1007	 	-1007	 	 	 	 	 	
2023/12/04	23:32:16	16047.75	16076.75	16042.75	16048	 	 	 	 	 	 	 	 	 	 	-683	 	-1331	 	 	 	 	 	
2023/12/04	23:35:52	16048.75	16071	16037.5	16058	 	 	 	 	 	 	 	 	 	 	-404	 	-1331	 	 	 	 	 	
2023/12/04	23:40:52	16059.25	16062	16033.75	16043.75	 	 	 	 	 	 	 	 	 	 	-707	 	-1634	 	 	 	 	 	
2023/12/04	23:46:01	16044.5	16050.75	16030	16034.5	 	 	 	 	 	 	 	 	 	 	-1019	 	-1946	 	0	 	 	 	
2023/12/04	23:50:22	16033.25	16055.25	16024.25	16054.75	16122.25	 	 	 	 	 	 	 	 	 	-697	 	-1624	 	14.49	 	 	 	
2023/12/04	23:55:06	16055.75	16057.75	16033.5	16033.5	16114.5	 	 	 	 	 	 	 	 	 	-1015	 	-1306	-1346.52	14.9	 	 	 	
2023/12/05	00:02:29	16033	16071.5	16029.25	16045.75	16100	 	 	 	 	 	 	-230.19	 	 	-703	 	-1618	-1483.64	29.22	 	 	 	
2023/12/05	00:11:52	16045	16045.25	15986.5	15987.25	16033.63	 	 	 	 	 	 	-273.15	 	 	-1030	-753.17	-1945	-1580.92	29.19	 	 	 	
2023/12/05	00:22:55	15987.5	15988.75	15957.5	15965.5	16017.13	 	 	 	 	 	 	-307.38	 	 	-1344	-808.06	-2259	-1641.04	28.75	 	 	 	
2023/12/05	00:26:32	15965	15965	15946.75	15950.25	16009.13	 	 	 	 	 	 	-340.86	 	 	-1651	-861.28	-2566	-1714.16	28.72	 	 	 	
2023/12/05	00:31:27	15951.25	15962	15933.5	15939.75	16002.5	 	 	 	 	 	 	-374.87	 	 	-2018	-951.39	-2933	-1853.36	28.05	 	3.21	43.69	
2023/12/05	00:36:14	15938.25	15955.25	15920.75	15920.75	15996.13	 	 	 	 	 	 	-430.93	 	 	-2366	-1078.81	-3281	-2047.6	13.66	 	2.81	42.85	
2023/12/05	00:53:35	15920.5	15943	15920.25	15935.75	15995.88	 	 	 	 	 	 	-419.46	2.63	 	-2057	-1243.28	-3590	-2295.2	27.23	 	2.56	39.33	
2023/12/05	01:05:26	15937.5	15954.25	15930.25	15951.5	15995.88	 	 	 	 	 	 	-345.85	6.29	 	-1715	-1409.39	-3248	-2569.84	28.11	77.61	6.79	35.59	
2023/12/05	01:17:31	15952.5	15970	15945	15965	15995.88	 	 	 	 	 	 	-254.74	12.65	 	-1405	-1559.5	-2938	-2821.68	41.83	65.68	12.56	31.93	
2023/12/05	01:30:05	15965.5	16026.25	15965.25	16022.75	15982.75	 	 	 	 	 	 	-140.69	31.32	17.04	-1071	-1675.94	-2604	-2995.28	55.92	61.05	30.41	24.74	
2023/12/05	01:58:45	16025.25	16030.25	16018.75	16024	15975.25	 	 	 	 	 	 	-74.21	46.25	28.72	-747	-1720.39	-2280	-3062.32	69.41	57.85	30.61	23.59	
2023/12/05	02:07:56	16023.25	16051.5	16021	16051.5	15985.88	 	 	 	 	0	1	20.18	63.18	42.51	-427	-1673.44	-1960	-2998.36	84.83	57.76	35.47	20.65	
2023/12/05	02:28:08	16051	16063.25	16036	16058.5	15991.75	 	 	 	 	1	0	106.34	78.64	56.96	-106	-1534.69	-1639	-2830.48	100	58.83	36.34	18.3	
2023/12/05	02:48:23	16058.5	16068.25	16048.75	16050.5	15994.25	 	 	 	 	1	0	106.05	83.22	67.46	-415	-1340.81	-1330	-2583.4	100	60.18	35.43	16.73	
2023/12/05	03:08:05	16051.25	16052.75	16025.75	16025.75	15994.25	 	 	 	 	1	0	53.49	83.96	74.06	-694	-1125.47	-1609	-2309.68	87.29	52.08	31.15	24.99	
2023/12/05	03:26:09	16025.25	16037.5	16018	16028	15999.25	16070.25	 	 	 	0	1	22.64	80.49	76.64	-386	-907.22	-1917	-2061.48	73.26	43.1	28.3	26.34	
2023/12/05	03:44:35	16027.25	16035	16006.25	16006.25	16006.63	16062.5	 	 	 	0	1	-45.09	72.15	74.84	-682	-722.47	-2213	-1888.6	59.09	36.59	24.5	28.29	
2023/12/05	04:04:11	16005.25	16031.5	15997.5	16027.5	16016.75	16048	 	 	 	0	1	-39.56	68.67	72.37	-363	-589.81	-2532	-1815.8	58.99	33.77	20.7	27.9	
