Date	Time	Open	High	Low	Close	CL	BL	LS	FS1	FS2	Chaikin	%K	%D	HOBV	signal	MFI	ADX	plus	minus	DMI	
2023/11/30	08:03:32	16243.5	16301	16239	16266.25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
2023/11/30	22:49:21	16254.88	16282	16151.5	16218.38	 	 	 	 	 	 	 	 	-344	 	 	 	 	 	 	
2023/11/30	23:48:27	16236.63	16236.63	16118.25	16164.69	 	 	 	 	 	 	 	 	-676	 	 	 	 	 	 	
2023/12/01	00:24:19	16200.66	16200.66	16084.25	16139	 	 	 	 	 	 	 	 	-984	 	 	 	 	 	 	
2023/12/01	01:22:34	16169.83	16169.83	16062.5	16086.69	 	 	 	 	 	 	 	 	-1342	 	 	 	 	 	 	
2023/12/01	03:31:17	16128.26	16191.25	16057	16124.19	 	 	 	 	 	 	 	 	-1008	 	 	 	 	 	 	
2023/12/01	05:59:51	16126.22	16191.25	16126.22	16176	 	 	 	 	 	 	 	 	-979	 	 	 	 	 	 	
2023/12/01	08:00:44	16151.11	16201.25	16122.5	16157.81	 	 	 	 	 	 	 	 	-653	 	17.84	 	 	 	 	
2023/12/01	22:30:58	16154.46	16154.46	16077.5	16126.75	16179	 	 	 	 	 	 	 	-990	 	17.92	 	 	 	 	
2023/12/01	23:52:45	16140.61	16162	16092	16121.19	16169.5	 	 	 	 	 	 	 	-671	-943.28	33.91	 	 	 	 	
2023/12/02	00:17:57	16130.9	16133.75	16066.25	16108.06	16146.81	 	 	 	 	-37.04	 	 	-987	-940.32	33.79	 	 	 	 	
2023/12/02	01:02:26	16119.48	16184.75	16116.75	16147	16129.13	 	 	 	 	-30.44	 	 	-682	-900.08	50.21	 	12.53	28.05	34.48	
2023/12/02	01:37:16	16133.24	16219.75	16133.24	16177.5	16138.38	 	 	 	 	-23.58	 	 	-295	-846.44	51.55	 	17.01	23.56	43.45	
2023/12/02	01:58:44	16155.37	16242.25	16155.37	16215.94	16149.63	 	 	 	 	5.59	 	 	71	-750.12	58.5	 	18.45	19.75	48.7	
2023/12/02	02:53:08	16185.65	16251.5	16185.65	16220.13	16158.88	 	 	 	 	24.47	 	 	452	-635.72	73	 	17.88	17.22	50.67	
2023/12/02	04:10:45	16202.89	16237	16194.5	16214.06	16158.88	 	 	 	 	29.55	 	 	758	-452.36	73.89	 	16.27	15.66	50.61	
2023/12/04	08:00:06	16208.48	16220.25	16169	16197.94	16158.88	 	 	 	 	38.57	72.27	 	394	-237.84	59.37	 	14.38	19.6	44.78	
2023/12/04	13:48:35	16203.21	16204.75	16148.75	16177.75	16158.88	 	 	 	 	43.39	71.97	 	67	-23.16	59.06	 	12.49	21.78	40.71	
2023/12/04	18:26:10	16190.48	16190.48	16079.25	16126.81	16158.88	 	 	 	 	34.56	62.8	 	-310	133.84	45.25	 	9.51	31.51	28	
2023/12/04	23:14:33	16158.65	16158.65	16043.5	16062.63	16147.5	 	 	 	 	-5.99	44.3	58.76	-613	203.32	30.88	 	7.33	31.4	25.93	
2023/12/04	23:32:16	16110.64	16110.64	16042.75	16053.81	16147.13	 	 	 	 	-64.59	27.4	46.22	-937	135.2	16.05	 	6.31	27.18	29.13	
2023/12/04	23:35:52	16082.22	16082.22	16037.5	16053.81	16144.5	 	 	 	 	-106.13	14.09	33.37	-1216	-40.36	0	41.87	5.68	25.65	30.04	
2023/12/04	23:40:52	16068.02	16068.02	16033.75	16049.69	16142.63	 	 	 	 	-126.84	7.36	22.96	-1519	-293.84	0	45.7	5.21	24.42	30.79	
2023/12/04	23:46:01	16058.85	16058.85	16030	16039.94	16133.5	 	 	 	 	-147.48	6.18	16.25	-1831	-592.92	0	49.1	4.8	23.53	31.27	
